X,Y,Z,Name,Confidence,N frame
362861.0797177273,5107815.177659348,183.94004587315766,speedlimit40(mandatory),0.87,198
362861.1031186936,5107815.169392037,183.93860625963111,speedlimit30(mandatory),0.40,199
362861.17152719025,5107815.145531471,183.91544612891218,speedlimit40(mandatory),0.91,200
362847.5966742491,5107741.026355,184.08182848185334,deadend(indication),0.92,241
362848.78624947026,5107742.4539302215,183.64023556149937,deadend(indication),0.94,242
362850.75508334,5107743.653991363,183.55728302730788,deadend(indication),0.98,243
362852.7799242491,5107743.783605,183.80932848185336,deadend(indication),0.96,244
362853.34083659895,5107614.3233619,182.96296358746517,noentry(mandatory,)1.0,516
362854.46600869193,5107612.514933994,183.0740798665349,noentry(mandatory,)1.0,517
362854.13403659896,5107613.245761899,182.93276358746522,noentry(mandatory,)1.0,518
362854.13403659896,5107613.245761899,182.93276358746522,noentry(mandatory,)1.0,518
362866.1692794561,5107613.749454757,182.9927850160366,noentry(mandatory),0.97,521
362866.1692794561,5107613.749454757,182.9927850160366,noentry(mandatory),0.97,521
362869.33196993225,5107610.233228567,182.66929692079853,noentry(mandatory),0.89,522
362869.33196993225,5107610.233228567,182.66929692079853,noentry(mandatory),0.89,522
362879.6340366,5107615.45361904,183.53322073,stop(mandatory),0.99,523
362868.36552549,5107609.57967301,182.75874137,noentry(mandatory),0.99,523
362879.6340366,5107615.45361904,183.53322073,stop(mandatory),0.99,523
362868.36552549,5107609.57967301,182.75874137,noentry(mandatory),0.99,523
362879.6631629147,5107615.474114531,183.56138464009678,stop(mandatory),0.99,524
362879.77652121434,5107615.465984977,183.5523482028498,stop(mandatory),0.99,525
362879.7578673682,5107615.444459335,183.59373281823443,stop(mandatory),0.99,526
362876.7377477101,5107617.6175619,183.3381858096874,stop(mandatory),0.99,527
362876.7794547808,5107617.773016445,183.32241813291975,stop(mandatory),0.99,528
362878.79223659897,5107615.155095234,183.42151914302073,stop(mandatory),0.99,529
