X,Y,Z,Name,Confidence,N frame
3.62849228e+05,5.10774968e+06,1.88653069e+02,information--safety-area--g2,0.34,245
3.62843139e+05,5.10762606e+06,1.80536505e+02,regulatory--stop--g1,0.26,515
3.62845508e+05,5.10762618e+06,1.80530659e+02,regulatory--no-entry--g1,0.36,516
3.62848071e+05,5.10762678e+06,1.80513392e+02,regulatory--no-entry--g1,0.37,516
3.62851140e+05,5.10762839e+06,1.80481214e+02,regulatory--no-entry--g1,0.42,518
3.62856676e+05,5.10762490e+06,1.80540606e+02,regulatory--no-entry--g1,0.25,522
3.62859423e+05,5.10762713e+06,1.80511056e+02,regulatory--no-entry--g1,0.57,523
3.62866454e+05,5.10762390e+06,1.80522478e+02,regulatory--stop--g1,0.29,527
3.62871786e+05,5.10762656e+06,1.80518253e+02,regulatory--stop--g1,0.28,529
3.62888861e+05,5.10761779e+06,1.80604309e+02,regulatory--yield--g1,0.34,538
3.62890494e+05,5.10761564e+06,1.80568936e+02,regulatory--yield--g1,0.34,539
3.62892390e+05,5.10761384e+06,1.80471576e+02,regulatory--yield--g1,0.53,540
3.62903048e+05,5.10754231e+06,1.79861854e+02,complementary--chevron-left--g1,0.35,575
3.62910234e+05,5.10749620e+06,1.79370592e+02,regulatory--stop--g1,0.40,599
3.62911135e+05,5.10749400e+06,1.79310734e+02,regulatory--stop--g1,0.40,600
3.62912200e+05,5.10749154e+06,1.79250875e+02,regulatory--stop--g1,0.42,601
3.62909425e+05,5.10748524e+06,1.81718268e+02,regulatory--stop--g1,0.34,602
3.62932904e+05,5.10747503e+06,1.79171303e+02,information--pedestrians-crossing--g1,0.31,620
3.62952577e+05,5.10747292e+06,1.86774772e+02,information--pedestrians-crossing--g1,0.38,621
3.63060142e+05,5.10749869e+06,1.79760929e+02,information--pedestrians-crossing--g1,0.44,684
3.63062717e+05,5.10749978e+06,1.79768330e+02,information--pedestrians-crossing--g1,0.28,685
3.63068307e+05,5.10749579e+06,1.79796683e+02,regulatory--yield--g1,0.27,689
3.63070440e+05,5.10749577e+06,1.79795063e+02,regulatory--yield--g1,0.40,690
3.63072259e+05,5.10749553e+06,1.79792389e+02,regulatory--yield--g1,0.45,691
3.63072259e+05,5.10749553e+06,1.79792389e+02,regulatory--yield--g1,0.45,691
3.63074267e+05,5.10749516e+06,1.79787160e+02,regulatory--yield--g1,0.50,692
3.63074267e+05,5.10749516e+06,1.79787160e+02,regulatory--yield--g1,0.50,692
3.63078773e+05,5.10749981e+06,1.80091501e+02,regulatory--yield--g1,0.52,693
3.63081336e+05,5.10750025e+06,1.80179037e+02,regulatory--yield--g1,0.50,694
3.63083821e+05,5.10750123e+06,1.80065017e+02,regulatory--yield--g1,0.63,695
3.63103823e+05,5.10750019e+06,1.80312903e+02,information--pedestrians-crossing--g1,0.32,704
3.63255806e+05,5.10759293e+06,1.78409711e+02,information--pedestrians-crossing--g1,0.29,800
3.63259260e+05,5.10759615e+06,1.78362146e+02,information--pedestrians-crossing--g1,0.50,802
3.63270029e+05,5.10759530e+06,1.82505609e+02,information--pedestrians-crossing--g1,0.59,803
3.63416629e+05,5.10766440e+06,1.76974425e+02,information--pedestrians-crossing--g1,0.47,887
3.63419072e+05,5.10766697e+06,1.77033340e+02,information--pedestrians-crossing--g1,0.63,888
3.63449171e+05,5.10768076e+06,1.77686550e+02,regulatory--keep-right--g1,0.36,907
3.63504275e+05,5.10777479e+06,1.77773317e+02,regulatory--no-parking--g1,0.30,965
3.63506880e+05,5.10777680e+06,1.77808147e+02,regulatory--no-stopping--g15,0.33,966
3.63603364e+05,5.10778548e+06,1.82372739e+02,regulatory--yield--g1,0.33,1010
3.63600793e+05,5.10778663e+06,1.80448860e+02,regulatory--yield--g1,0.26,1011
3.63605217e+05,5.10778626e+06,1.81534402e+02,regulatory--yield--g1,0.29,1012
3.63604188e+05,5.10778739e+06,1.80221381e+02,regulatory--yield--g1,0.32,1013
3.63607037e+05,5.10778725e+06,1.80649318e+02,regulatory--yield--g1,0.42,1014
3.63608458e+05,5.10778788e+06,1.80379384e+02,regulatory--yield--g1,0.38,1015
3.63606259e+05,5.10779432e+06,1.77900405e+02,regulatory--yield--g1,0.30,1016
3.63624605e+05,5.10780475e+06,1.79281894e+02,regulatory--no-stopping--g15,0.48,1030
3.63608584e+05,5.10793534e+06,1.78206481e+02,information--pedestrians-crossing--g1,0.36,1097
3.63618954e+05,5.10794716e+06,1.84488308e+02,information--pedestrians-crossing--g1,0.45,1098
3.63607628e+05,5.10798717e+06,1.81340221e+02,regulatory--no-entry--g1,0.38,1120
3.63597014e+05,5.10806600e+06,1.81447473e+02,information--pedestrians-crossing--g1,0.45,1160
3.63596498e+05,5.10806716e+06,1.81037652e+02,information--pedestrians-crossing--g1,0.35,1161
3.63610751e+05,5.10833174e+06,1.82696629e+02,regulatory--yield--g1,0.38,1298
